Start,End,Priority,Status,Reason
2015-10-16T05:59:34, 2015-10-16T06:00:34,75,  COMPLETE+FINISHED,  Partial MP
2015-10-16T05:59:34, 2015-10-16T06:00:34,75,  COMPLETE+FINISHED,  Maybe FTE?
2015-10-16T06:00:44, 2015-10-16T06:01:54,75,  COMPLETE+FINISHED,  Partial MP
2015-10-16T06:00:44, 2015-10-16T06:01:54,75,  COMPLETE+FINISHED,  Maybe FTE?
2015-10-16T06:02:04, 2015-10-16T06:03:04,75,  COMPLETE+FINISHED,  Partial MP
2015-10-16T06:02:04, 2015-10-16T06:03:04,75,  COMPLETE+FINISHED,  Maybe FTE?
2015-10-16T06:33:54, 2015-10-16T06:35:24,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T06:41:04, 2015-10-16T06:42:54,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T07:57:44, 2015-10-16T07:59:34,75,  COMPLETE+FINISHED,  Partial MP + Close to Full
2015-10-16T08:10:34, 2015-10-16T08:11:44,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:19:14, 2015-10-16T08:20:54,105,  COMPLETE+FINISHED,  Full Low Shear MP
2015-10-16T08:23:34, 2015-10-16T08:24:24,75,  COMPLETE+FINISHED,  Partial MP
2015-10-16T08:26:44, 2015-10-16T08:27:04,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:27:24, 2015-10-16T08:27:44,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:28:04, 2015-10-16T08:28:34,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:29:34, 2015-10-16T08:30:04,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:31:44, 2015-10-16T08:32:14,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:33:34, 2015-10-16T08:33:54,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:34:44, 2015-10-16T08:35:14,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:37:04, 2015-10-16T08:37:24,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:38:04, 2015-10-16T08:39:14,105,  COMPLETE+FINISHED,  Full low shear MP
2015-10-16T08:51:34, 2015-10-16T08:52:04,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:52:44, 2015-10-16T08:53:34,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:56:44, 2015-10-16T08:57:24,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T08:57:44, 2015-10-16T08:58:34,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T09:01:34, 2015-10-16T09:02:14,85,  COMPLETE+FINISHED,  Partial or Low Shear MP
2015-10-16T09:03:04, 2015-10-16T09:03:44,85,  COMPLETE+FINISHED,  Partial or Low Shear MP
2015-10-16T09:05:04, 2015-10-16T09:06:14,60,  DERELICT+FINISHED,  
2015-10-16T09:07:24, 2015-10-16T09:08:04,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T09:22:24, 2015-10-16T09:23:54,115,  COMPLETE+FINISHED,  Full Slow MP With Vz Flow Enhancement
2015-10-16T09:24:04, 2015-10-16T09:25:24,115,  COMPLETE+FINISHED,  Full Slow MP With Vz Flow Enhancement
2015-10-16T09:25:34, 2015-10-16T09:27:04,115,  COMPLETE+FINISHED,  Full Slow MP With Vz Flow Enhancement
2015-10-16T09:31:14, 2015-10-16T09:32:24,115,  COMPLETE+FINISHED,  Full Slow MP
2015-10-16T09:32:34, 2015-10-16T09:33:54,115,  COMPLETE+FINISHED,  Full Slow MP
2015-10-16T09:34:04, 2015-10-16T09:35:14,115,  COMPLETE+FINISHED,  Full Slow MP
2015-10-16T09:35:54, 2015-10-16T09:37:04,125,  COMPLETE+FINISHED,  Full MP
2015-10-16T09:40:54, 2015-10-16T09:41:24,59.385368,  DERELICT+FINISHED,  
2015-10-16T09:43:44, 2015-10-16T09:45:44,99,  COMPLETE+FINISHED,  Partial MP With Vz Flow Reversal
2015-10-16T09:53:04, 2015-10-16T09:53:54,115,  COMPLETE+FINISHED,  Full MP
2015-10-16T09:54:04, 2015-10-16T09:55:04,115,  COMPLETE+FINISHED,  Full MP
2015-10-16T09:57:24, 2015-10-16T09:58:34,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T09:58:44, 2015-10-16T10:00:54,85,  COMPLETE+FINISHED,  Partial MP with long lived Jet
2015-10-16T10:01:44, 2015-10-16T10:03:04,125,  COMPLETE+FINISHED,  Full MP
2015-10-16T10:19:54, 2015-10-16T10:20:54,125,  COMPLETE+FINISHED,  MP
2015-10-16T10:25:34, 2015-10-16T10:26:34,125,  COMPLETE+FINISHED,  MP
2015-10-16T10:29:44, 2015-10-16T10:30:44,125,  COMPLETE+FINISHED,  MP
2015-10-16T10:32:54, 2015-10-16T10:34:04,140,  COMPLETE+FINISHED,  Partial MP With Deep Bz Minima
2015-10-16T10:32:54, 2015-10-16T10:34:04,140,  COMPLETE+FINISHED,  Large Jet and Wave Activity
2015-10-16T10:34:14, 2015-10-16T10:35:44,125,  COMPLETE+FINISHED,  Partial MP With Possible Jet and Wave Activity
2015-10-16T10:36:54, 2015-10-16T10:38:24,125,  COMPLETE+FINISHED,  MP With Near Zero Field and Possible Jet
2015-10-16T10:44:24, 2015-10-16T10:45:24,125,  COMPLETE+FINISHED,  MP With Near Zero Field
2015-10-16T10:45:54, 2015-10-16T10:46:34,125,  COMPLETE+FINISHED,  MP With Near Zero Field and Jet
2015-10-16T10:48:34, 2015-10-16T10:49:14,125,  COMPLETE+FINISHED,  Full MP With Possible Jet
2015-10-16T10:54:54, 2015-10-16T10:55:54,125,  COMPLETE+FINISHED,  Full MP
2015-10-16T11:09:34, 2015-10-16T11:11:04,115,  COMPLETE+FINISHED,  Low Shear MP
2015-10-16T11:17:24, 2015-10-16T11:19:24,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T11:25:54, 2015-10-16T11:27:34,125,  COMPLETE+FINISHED,  MP With Jet
2015-10-16T11:27:54, 2015-10-16T11:29:04,125,  COMPLETE+FINISHED,  MP
2015-10-16T11:29:14, 2015-10-16T11:30:34,125,  COMPLETE+FINISHED,  MP
2015-10-16T11:38:44, 2015-10-16T11:39:44,125,  COMPLETE+FINISHED,  MP. Maybe Jet?
2015-10-16T11:40:04, 2015-10-16T11:41:24,125,  COMPLETE+FINISHED,  MP
2015-10-16T11:48:14, 2015-10-16T11:49:04,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T11:55:34, 2015-10-16T11:56:34,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T12:38:04, 2015-10-16T12:39:04,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T12:56:04, 2015-10-16T12:58:24,125,  COMPLETE+FINISHED,  Full MP
2015-10-16T12:58:44, 2015-10-16T13:00:24,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T13:01:44, 2015-10-16T13:02:04,60,  DERELICT+FINISHED,  Partial MP
2015-10-16T13:02:24, 2015-10-16T13:03:04,80,  COMPLETE+FINISHED,  Partial MP With Jet
2015-10-16T13:03:34, 2015-10-16T13:04:54,99,  COMPLETE+FINISHED,  Partial
2015-10-16T13:03:34, 2015-10-16T13:04:54,99,  COMPLETE+FINISHED,  possibly full MP With Very Fast Jet
2015-10-16T13:05:24, 2015-10-16T13:07:34,125,  COMPLETE+FINISHED,  Full MP With Jet and B Minima
2015-10-16T13:09:04, 2015-10-16T13:09:34,80,  COMPLETE+FINISHED,  Partial MP With Jet
2015-10-16T13:12:44, 2015-10-16T13:13:24,65,  DEMOTED+FINISHED,  Partial MP
2015-10-16T13:33:44, 2015-10-16T13:35:14,75,  COMPLETE+FINISHED,  Partial MP Maybe With Jet
2015-10-16T13:39:04, 2015-10-16T13:41:34,125,  COMPLETE+FINISHED,  Full MP
2015-10-16T13:39:04, 2015-10-16T13:41:34,125,  COMPLETE+FINISHED,  Maybe With Jet
2015-10-16T13:54:04, 2015-10-16T13:55:24,80,  COMPLETE+FINISHED,  Long lived partial crossing with Jet
2015-10-16T13:55:34, 2015-10-16T13:57:04,80,  COMPLETE+FINISHED,  Long lived partial crossing with Jet
